index,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,age,hours_per_week,attendance_rate,sleep_duration
130,0,No,Clubs,Auditory,Male,Yes,93.0,21.0,16.0,6.0,91.0,8.0
131,2,No,SPORTS,Auditory,Female,Yes,55.0,1.0,16.0,12.0,92.0,8.0
132,1,No,Sports,Auditory,Male,Yes,58.0,19.0,16.0,17.0,94.0,8.0
133,1,No,Sports,Auditory,Female,Yes,64.0,16.0,15.0,10.0,92.0,8.0
134,0,No,Sports,Auditory,Female,No,65.0,11.0,15.0,14.0,95.0,8.0
135,0,No,Clubs,Visual,Male,Yes,89.0,14.0,15.0,7.0,99.0,8.0
136,0,No,CLUBS,Visual,Female,No,55.0,9.0,16.0,13.0,98.0,8.0
137,1,No,Sports,Visual,Female,No,58.0,8.0,16.0,9.0,97.0,8.0
138,1,No,Arts,Auditory,Female,No,53.0,13.0,16.0,18.0,95.0,8.0
139,1,No,Clubs,Visual,Female,No,47.0,19.0,16.0,10.0,91.0,8.0
140,2,No,None,Visual,Female,Yes,72.0,6.0,5.0,10.0,99.0,8.0
141,0,No,None,Auditory,Female,No,68.0,19.0,15.0,19.0,95.0,8.0
142,1,No,None,Auditory,Female,Yes,61.0,22.0,5.0,7.0,91.0,8.0
143,1,Yes,Sports,Auditory,Female,Yes,72.0,9.0,15.0,11.0,94.0,8.0
144,1,No,Clubs,Visual,Male,No,51.0,23.0,15.0,7.0,100.0,8.0
145,2,No,Arts,Visual,Female,No,41.0,3.0,6.0,8.0,96.0,8.0
146,0,No,Sports,Auditory,Female,No,53.0,1.0,16.0,18.0,97.0,8.0
147,1,No,Clubs,Visual,Male,No,53.0,15.0,15.0,18.0,100.0,8.0
148,0,No,Clubs,Visual,Female,No,76.0,0.0,15.0,8.0,96.0,8.0
149,2,No,Sports,Auditory,Male,No,59.0,18.0,15.0,16.0,94.0,8.0
150,1,No,Clubs,Visual,Female,Yes,59.0,25.0,15.0,15.0,94.0,8.0
151,1,Yes,Sports,Visual,Female,No,49.0,27.0,16.0,4.0,55.0,5.0
152,1,Yes,SPORTS,Auditory,Male,No,49.0,12.0,16.0,7.0,93.0,8.0
153,2,No,Arts,Auditory,Male,Yes,56.0,20.0,16.0,11.0,93.0,8.0
154,0,No,None,Auditory,Female,Yes,72.0,0.0,6.0,12.0,94.0,8.0
155,1,Yes,None,Visual,Female,No,91.0,9.0,16.0,5.0,97.0,8.0
156,1,No,Clubs,Auditory,Male,No,61.0,17.0,15.0,8.0,100.0,8.0
157,2,Yes,Arts,Visual,Male,No,54.0,11.0,15.0,5.0,99.0,8.0
158,0,No,Clubs,Visual,Male,No,72.0,13.0,16.0,10.0,95.0,8.0
159,1,Yes,Clubs,Auditory,Female,Yes,75.0,7.0,16.0,6.0,92.0,8.0
160,1,Yes,None,Visual,Female,No,61.0,21.0,16.0,7.0,96.0,8.0
161,0,No,ARTS,Auditory,Male,Yes,77.0,12.0,16.0,6.0,93.0,8.0
162,1,Yes,Arts,Auditory,Female,No,49.0,19.0,15.0,10.0,91.0,8.0
163,2,No,Sports,Auditory,Female,No,41.0,15.0,15.0,1.0,98.0,8.0
164,2,No,Arts,Auditory,Female,Yes,49.0,15.0,15.0,6.0,56.0,4.0
165,2,No,Clubs,Visual,Female,No,72.0,10.0,15.0,7.0,96.0,8.0
166,1,No,Clubs,Auditory,Female,Yes,58.0,4.0,15.0,16.0,100.0,8.0
167,0,No,Sports,Auditory,Female,No,77.0,5.0,15.0,6.0,90.0,8.0
168,2,No,Sports,Visual,Male,No,70.0,20.0,16.0,14.0,91.0,8.0
169,1,No,None,Visual,Male,No,55.0,16.0,16.0,13.0,99.0,8.0
170,0,Yes,None,Visual,Female,No,81.0,3.0,15.0,7.0,90.0,7.0
171,1,No,Clubs,Auditory,Female,No,47.0,22.0,15.0,5.0,96.0,8.0
172,2,Yes,None,Visual,Male,Yes,76.0,14.0,16.0,6.0,91.0,8.0
173,0,Yes,Sports,Visual,Male,No,73.0,11.0,16.0,6.0,94.0,8.0
174,2,No,Clubs,Auditory,Female,No,42.0,22.0,16.0,5.0,59.0,5.0
175,1,No,Sports,Auditory,Male,No,62.0,27.0,16.0,13.0,99.0,8.0
176,2,No,Sports,Auditory,Male,Yes,71.0,10.0,16.0,15.0,93.0,8.0
177,0,Yes,Sports,Visual,Female,Yes,79.0,11.0,15.0,7.0,93.0,8.0
178,1,Yes,Arts,Visual,Female,No,79.0,10.0,15.0,6.0,91.0,8.0
179,2,No,Clubs,Auditory,Female,Yes,71.0,18.0,16.0,11.0,97.0,8.0
180,1,No,Clubs,Auditory,Female,No,62.0,23.0,16.0,5.0,92.0,8.0
181,0,No,Arts,Visual,Female,Yes,81.0,9.0,16.0,6.0,95.0,8.0
182,1,Yes,Arts,Visual,Male,Yes,85.0,22.0,15.0,8.0,100.0,8.0
183,2,Yes,None,Visual,Male,No,81.0,16.0,15.0,8.0,91.0,8.0
184,0,Yes,None,Visual,Female,Yes,82.0,13.0,16.0,8.0,99.0,8.0
185,2,No,Clubs,Visual,Female,Yes,72.0,18.0,6.0,5.0,95.0,8.0
186,2,No,Sports,Auditory,Male,Yes,60.0,11.0,16.0,18.0,98.0,8.0
187,1,No,Clubs,Visual,Male,No,46.0,18.0,16.0,5.0,67.0,6.0
188,0,No,Arts,Visual,Female,Yes,55.0,10.0,16.0,18.0,97.0,8.0
189,1,No,Arts,Visual,Female,No,54.0,9.0,15.0,15.0,91.0,8.0
190,1,No,Sports,Visual,Female,Yes,57.0,0.0,16.0,10.0,99.0,8.0
191,0,Yes,Clubs,Auditory,Male,No,76.0,12.0,15.0,6.0,92.0,8.0
192,1,Yes,None,Auditory,Male,Yes,80.0,16.0,15.0,8.0,94.0,8.0
193,2,No,Clubs,Auditory,Male,Yes,55.0,10.0,15.0,17.0,93.0,8.0
194,2,No,Sports,Auditory,Male,No,40.0,19.0,15.0,2.0,89.0,8.0
195,2,Yes,Arts,Auditory,Male,No,45.0,16.0,16.0,6.0,95.0,8.0
196,0,No,Clubs,Visual,Male,No,79.0,26.0,15.0,8.0,94.0,8.0
197,1,Yes,Arts,Auditory,Female,No,48.0,23.0,15.0,6.0,97.0,8.0
198,1,Yes,Sports,Visual,Female,No,55.0,12.0,15.0,8.0,91.0,8.0
199,1,No,Clubs,Visual,Female,No,58.0,13.0,16.0,10.0,96.0,8.0
200,0,No,None,Auditory,Female,No,62.0,14.0,15.0,15.0,97.0,8.0
201,1,No,Sports,Auditory,Female,Yes,67.0,12.0,15.0,8.0,99.0,8.0
202,0,No,None,Auditory,Male,Yes,71.0,11.0,15.0,9.0,91.0,8.0
203,2,No,Clubs,Visual,Male,Yes,78.0,17.0,16.0,8.0,96.0,8.0
204,0,No,Sports,Visual,Female,Yes,68.0,21.0,16.0,12.0,94.0,8.0
205,1,Yes,None,Visual,Female,No,57.0,11.0,15.0,7.0,98.0,8.0
206,1,Yes,None,Visual,Male,No,76.0,11.0,16.0,10.0,97.0,8.0
207,0,Yes,Sports,Auditory,Female,No,77.0,8.0,16.0,9.0,95.0,8.0
208,2,No,None,Visual,Male,No,69.0,17.0,15.0,8.0,100.0,8.0
209,1,No,Sports,Visual,Male,No,47.0,24.0,15.0,8.0,98.0,8.0
210,1,Yes,Clubs,Visual,Female,No,52.0,8.0,16.0,5.0,92.0,8.0
211,1,No,None,Auditory,Female,No,50.0,25.0,16.0,7.0,73.0,6.0
212,2,No,Clubs,Visual,Male,No,53.0,15.0,15.0,12.0,93.0,8.0
213,2,No,Sports,Visual,Male,No,61.0,12.0,15.0,12.0,97.0,8.0
214,0,No,Clubs,Auditory,Male,No,70.0,20.0,15.0,18.0,99.0,8.0
215,0,No,Arts,Auditory,Female,Yes,68.0,13.0,15.0,19.0,95.0,8.0
216,2,No,Clubs,Auditory,Male,Yes,70.0,19.0,15.0,14.0,96.0,8.0
217,1,No,None,Visual,Male,Yes,72.0,24.0,16.0,12.0,97.0,8.0
218,2,Yes,ARTS,Visual,Male,Yes,72.0,10.0,16.0,8.0,96.0,8.0
219,1,Yes,Arts,Visual,Female,No,57.0,14.0,16.0,19.0,100.0,8.0
220,1,No,Clubs,Visual,Female,No,48.0,4.0,16.0,7.0,85.0,8.0
221,0,No,None,Visual,Male,Yes,75.0,25.0,15.0,7.0,98.0,8.0
222,1,No,None,Auditory,Male,Yes,60.0,19.0,16.0,14.0,100.0,8.0
223,0,No,Clubs,Auditory,Male,Yes,70.0,20.0,16.0,16.0,95.0,8.0
224,2,No,ARTS,Auditory,Male,Yes,58.0,21.0,15.0,19.0,96.0,8.0
225,1,No,Arts,Visual,Male,Yes,52.0,12.0,16.0,16.0,95.0,8.0
226,0,No,None,Visual,Male,Yes,61.0,12.0,16.0,19.0,93.0,8.0
227,1,No,Sports,Visual,Male,Yes,65.0,20.0,16.0,6.0,96.0,8.0
228,0,Yes,Sports,Visual,Female,No,74.0,15.0,15.0,5.0,90.0,8.0
229,1,Yes,None,Auditory,Male,No,78.0,13.0,5.0,9.0,96.0,8.0
230,0,Yes,None,Visual,Male,No,74.0,14.0,15.0,12.0,94.0,8.0
231,0,Yes,None,Visual,Female,Yes,83.0,15.0,15.0,9.0,95.0,8.0
232,1,No,Arts,Auditory,Male,Yes,64.0,25.0,16.0,11.0,95.0,8.0
233,2,No,Arts,Auditory,Female,Yes,50.0,14.0,16.0,12.0,96.0,8.0
234,1,No,Clubs,Auditory,Male,No,49.0,17.0,15.0,3.0,59.0,5.0
235,2,Yes,Arts,Visual,Male,Yes,72.0,15.0,15.0,17.0,92.0,8.0
236,2,Yes,None,Visual,Female,Yes,82.0,10.0,15.0,9.0,97.0,8.0
237,1,No,Arts,Visual,Female,Yes,46.0,25.0,15.0,7.0,99.0,8.0
238,0,No,Clubs,Auditory,Female,No,76.0,6.0,15.0,9.0,92.0,8.0
239,2,No,Arts,Auditory,Male,No,44.0,10.0,16.0,13.0,82.0,8.0
241,0,No,Clubs,Visual,Male,No,79.0,26.0,16.0,7.0,99.0,8.0
242,0,No,Clubs,Visual,Male,Yes,64.0,22.0,15.0,9.0,99.0,8.0
243,0,No,Clubs,Auditory,Male,No,65.0,25.0,15.0,17.0,99.0,8.0
244,1,No,Arts,Auditory,Female,Yes,57.0,15.0,16.0,18.0,99.0,8.0
245,2,Yes,None,Visual,Male,No,86.0,13.0,15.0,9.0,96.0,8.0
246,1,Yes,None,Visual,Male,Yes,74.0,10.0,15.0,13.0,94.0,8.0
247,0,No,Sports,Visual,Male,No,72.0,27.0,16.0,12.0,97.0,8.0
248,0,Yes,Sports,Visual,Female,Yes,77.0,11.0,16.0,6.0,96.0,8.0
249,1,No,Clubs,Auditory,Female,No,49.0,8.0,16.0,7.0,94.0,8.0
250,1,No,Clubs,Visual,Female,No,49.0,10.0,16.0,5.0,100.0,8.0
251,1,No,Arts,Visual,Male,No,47.0,15.0,16.0,11.0,78.0,7.0
252,1,Yes,Arts,Auditory,Male,Yes,76.0,13.0,15.0,20.0,90.0,8.0
253,1,Yes,None,Auditory,Female,Yes,83.0,14.0,15.0,6.0,94.0,8.0
254,0,No,Arts,Auditory,Female,No,64.0,13.0,15.0,15.0,97.0,8.0
255,2,No,Clubs,Auditory,Female,No,69.0,8.0,16.0,17.0,93.0,8.0
256,1,No,Clubs,Auditory,Male,No,51.0,16.0,16.0,8.0,96.0,8.0
257,2,Yes,Arts,Visual,Female,No,44.0,21.0,16.0,6.0,43.0,4.0
258,1,No,Sports,Auditory,Female,Yes,65.0,24.0,15.0,7.0,95.0,8.0
259,1,Yes,None,Auditory,Female,Yes,64.0,5.0,16.0,11.0,94.0,8.0
260,0,No,Sports,Auditory,Male,Yes,68.0,11.0,15.0,20.0,98.0,8.0
261,0,No,Arts,Auditory,Female,Yes,55.0,0.0,15.0,16.0,91.0,8.0
262,1,No,Arts,Visual,Male,Yes,57.0,18.0,16.0,5.0,100.0,8.0
263,2,No,Sports,Auditory,Female,Yes,71.0,9.0,16.0,10.0,95.0,8.0
264,0,No,Clubs,Auditory,Female,Yes,71.0,16.0,16.0,6.0,96.0,8.0
265,1,No,Arts,Auditory,Male,Yes,48.0,19.0,6.0,5.0,97.0,8.0
266,1,Yes,Sports,Auditory,Female,Yes,56.0,5.0,15.0,18.0,99.0,8.0
267,1,No,Clubs,Auditory,Female,Yes,64.0,17.0,16.0,16.0,96.0,8.0
268,1,No,Clubs,Visual,Male,No,53.0,11.0,15.0,8.0,91.0,8.0
269,2,Yes,None,Visual,Female,No,73.0,4.0,15.0,20.0,95.0,8.0
270,2,No,Arts,Visual,Male,No,70.0,18.0,15.0,11.0,92.0,8.0
271,1,No,Sports,Auditory,Female,No,48.0,9.0,15.0,9.0,54.0,5.0
272,2,Yes,Clubs,Visual,Male,No,69.0,10.0,16.0,17.0,95.0,8.0
273,1,No,Sports,Auditory,Male,No,67.0,10.0,16.0,14.0,99.0,8.0
274,0,Yes,Sports,Visual,Male,Yes,81.0,15.0,16.0,10.0,94.0,8.0
275,2,Yes,Clubs,Visual,Female,Yes,74.0,13.0,16.0,10.0,99.0,8.0
276,2,Yes,Sports,Visual,Male,Yes,83.0,14.0,16.0,9.0,99.0,8.0
277,2,No,Clubs,Visual,Female,Yes,57.0,22.0,15.0,17.0,95.0,8.0
278,0,Yes,None,Auditory,Female,Yes,83.0,8.0,15.0,9.0,98.0,8.0
279,1,Yes,Sports,Visual,Female,Yes,77.0,20.0,15.0,7.0,93.0,8.0
281,1,No,Sports,Auditory,Female,No,52.0,11.0,15.0,16.0,90.0,8.0
282,0,No,Arts,Auditory,Male,No,68.0,16.0,16.0,19.0,92.0,8.0
283,0,No,None,Auditory,Male,Yes,94.0,15.0,16.0,8.0,97.0,8.0
284,1,No,Sports,Visual,Female,No,58.0,17.0,16.0,10.0,93.0,8.0
285,1,No,Sports,Visual,Male,No,59.0,18.0,15.0,18.0,98.0,8.0
286,0,No,None,Visual,Female,Yes,92.0,5.0,15.0,6.0,90.0,8.0
287,0,No,Arts,Auditory,Male,Yes,62.0,12.0,15.0,15.0,99.0,8.0
288,2,No,Arts,Visual,Female,Yes,77.0,4.0,16.0,6.0,99.0,8.0
289,0,No,Arts,Visual,Female,No,67.0,6.0,16.0,10.0,91.0,8.0
290,1,Yes,Clubs,Visual,Male,Yes,95.0,15.0,15.0,6.0,95.0,8.0
291,0,No,Sports,Visual,Male,Yes,58.0,14.0,15.0,15.0,94.0,8.0
292,0,No,None,Auditory,Male,Yes,89.0,11.0,16.0,8.0,95.0,8.0
293,0,Yes,None,Visual,Female,No,87.0,11.0,16.0,5.0,91.0,8.0
294,2,No,Arts,Visual,Male,Yes,80.0,12.0,6.0,9.0,94.0,8.0
295,1,No,Clubs,Visual,Male,Yes,47.0,20.0,16.0,2.0,93.0,8.0
296,2,No,Clubs,Visual,Female,Yes,60.0,20.0,15.0,16.0,93.0,8.0
297,0,No,Sports,Auditory,Male,No,54.0,14.0,15.0,13.0,98.0,8.0
298,1,No,Sports,Visual,Female,Yes,55.0,23.0,15.0,15.0,97.0,8.0
299,2,No,Clubs,Auditory,Female,No,38.0,5.0,16.0,11.0,87.0,8.0
300,0,No,Arts,Auditory,Female,Yes,99.0,17.0,16.0,9.0,95.0,8.0
301,2,No,Sports,Visual,Male,No,56.0,12.0,15.0,16.0,100.0,8.0
302,1,No,Arts,Visual,Male,No,52.0,12.0,15.0,15.0,97.0,8.0
303,1,No,Clubs,Auditory,Female,Yes,70.0,16.0,16.0,20.0,99.0,8.0
304,1,No,Sports,Auditory,Male,Yes,53.0,18.0,15.0,19.0,95.0,8.0
305,1,Yes,None,Visual,Female,Yes,84.0,16.0,15.0,8.0,98.0,8.0
306,2,Yes,None,Visual,Male,No,86.0,13.0,16.0,8.0,98.0,8.0
307,1,No,Arts,Auditory,Female,Yes,56.0,14.0,16.0,18.0,98.0,8.0
308,2,No,Sports,Auditory,Male,Yes,43.0,15.0,16.0,2.0,97.0,8.0
309,2,No,Arts,Auditory,Female,No,40.0,0.0,16.0,4.0,82.0,7.0
310,2,No,None,Auditory,Male,No,45.0,23.0,16.0,12.0,79.0,7.0
311,1,Yes,Arts,Auditory,Female,No,47.0,1.0,16.0,14.0,72.0,7.0
